"Diagnosis outputs (Group: Pulmonary TB: HIV-negative, Children aged < 15 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"        Number initiated on treatment for TB disease","6.96032","7.150376","7.320364","7.449901","7.518708","7.50768","7.396064","7.164013","6.815421","6.973782","7.313064","7.566714","7.88817","8.14843","8.448767","8.786624"
"    HIV-positive, Not on ART, Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","1158.88804","1190.532109","1218.835072","1240.402796","1251.859208","1250.022993","1231.439082","1192.802689","1134.762441","1161.129304","1217.619564","1259.852043","1313.374318","1356.707378","1406.713271","1462.966115"
"        Number referred for diagnostic evaluation of TB disease","457.760776","470.260183","481.439853","489.959105","494.484387","493.759082","486.418437","471.157062","448.231164","458.646075","480.959728","497.641557","518.782856","535.899414","555.651742","577.871615"
"        Number diagnosed with TB disease","80.380474","82.575307","84.538401","86.034338","86.828955","86.701595","85.412615","82.732795","78.707123","80.535929","84.454093","87.383338","91.095643","94.101224","97.569632","101.47133"
"        Number initiated on treatment for TB disease","80.380474","82.575307","84.538401","86.034338","86.828955","86.701595","85.412615","82.732795","78.707123","80.535929","84.454093","87.383338","91.095643","94.101224","97.569632","101.47133"
"Pulmonary and Extra-Pulmonary TB","","","","","","","","","","","","","","","",""
"    Any HIV status, Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","380949.737526","391344.916895","400640.666219","407723.49765","411476.90265","410870.325695","404754.773774","392041.96591","372949.548063","381610.847554","400174.701994","414051.806815","429545.648402","443715.689486","460068.848885","478465.804554"
"        Number referred for diagnostic evaluation of TB disease","174665.25957","179431.260098","183693.142889","186940.431739","188661.029671","188382.834126","185578.679499","179749.53326","170995.312245","174966.352395","183477.719414","189840.215969","196887.853292","203382.815838","210878.458956","219310.921604"
"        Number diagnosed with TB disease","33096.338253","33999.405637","34806.947971","35422.24314","35748.241655","35695.521365","35164.162999","34059.603742","32400.785533","33153.222218","34765.980786","35971.562124","37302.306309","38532.834682","39952.953304","41550.563002"
"        Number initiated on treatment for TB disease","33096.338253","33999.405637","34806.947971","35422.24314","35748.241655","35695.521365","35164.162999","34059.603742","32400.785533","33153.222218","34765.980786","35971.562124","37302.306309","38532.834682","39952.953304","41550.563002"
"    Any HIV status, Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","4876670.307445","5009815.696412","5128878.881715","5219632.144789","5267815.263956","5260093.372694","5181856.523455","5019287.578782","4774967.359752","4885906.828174","5123607.46995","5301311.015687","5526522.925465","5708858.437435","5919274.016112","6155977.530615"
"        Number referred for diagnostic evaluation of TB disease","2258134.105771","2319786.529258","2374917.709065","2416940.745168","2439251.276798","2435675.778826","2399447.565513","2324170.623986","2211036.69832","2262406.72673","2372473.308992","2454758.346542","2559042.058278","2643471.93462","2740904.247998","2850509.15516"
"        Number diagnosed with TB disease","429568.37859","441296.587955","451784.208208","459778.306977","464022.425603","463342.262712","456450.447987","442130.427577","420608.627257","430380.802155","451318.914378","466972.100899","486810.129981","502871.333749","521406.012148","542256.302797"
"        Number initiated on treatment for TB disease","429568.37859","441296.587955","451784.208208","459778.306977","464022.425603","463342.262712","456450.447987","442130.427577","420608.627257","430380.802155","451318.914378","466972.100899","486810.129981","502871.333749","521406.012148","542256.302797"
"    HIV-negative, Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","380352.453441","390731.323592","400012.488924","407084.202838","410831.703042","410226.070601","404120.099946","391427.198248","372364.702685","381012.412955","399547.152872","413402.49149","428868.748224","443016.455875","459343.842731","477711.806238"
"        Number referred for diagnostic evaluation of TB disease","174531.717927","179294.072017","183552.693989","186797.497225","188516.774962","188238.790657","185436.778111","179612.082757","170864.551509","174832.553358","183337.410902","189695.040932","196736.510786","203226.479985","210716.360833","219142.341364"
"        Number diagnosed with TB disease","33058.858636","33960.902617","34767.529799","35382.127345","35707.755335","35655.094316","35124.33717","34021.027035","32364.08644","33115.670401","34726.602031","35930.817538","37259.83077","38488.957719","39907.459111","41503.24955"
"        Number initiated on treatment for TB disease","33058.858636","33960.902617","34767.529799","35382.127345","35707.755335","35655.094316","35124.33717","34021.027035","32364.08644","33115.670401","34726.602031","35930.817538","37259.83077","38488.957719","39907.459111","41503.24955"
"    HIV-negative, Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","4872485.303935","5005516.418784","5124477.415191","5215152.782415","5263294.528528","5255579.256916","5177409.537984","5014980.076523","4770869.506658","4881713.759088","5119210.403288","5296761.439137","5521780.069323","5703959.096986","5914194.09443","6150694.468714"
"        Number referred for diagnostic evaluation of TB disease","2256335.473231","2317938.783935","2373026.045215","2415015.603075","2437308.353357","2433735.70023","2397536.338471","2322319.343544","2209275.521688","2260604.628138","2370583.536255","2452803.028056","2557003.672026","2641366.294492","2738720.997609","2848238.599102"
"        Number diagnosed with TB disease","429135.549473","440851.940166","451328.991905","459315.034256","463554.873904","462875.395495","455990.5239","441684.928838","420184.811929","429947.139232","450864.153261","466501.566638","486319.60602","502364.625594","520880.627605","541709.908731"
"        Number initiated on treatment for TB disease","429135.549473","440851.940166","451328.991905","459315.034256","463554.873904","462875.395495","455990.5239","441684.928838","420184.811929","429947.139232","450864.153261","466501.566638","486319.60602","502364.625594","520880.627605","541709.908731"
"    HIV-positive, Not on ART, Children aged 0-9 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","451.807677","464.144572","475.176382","483.586112","488.052721","487.33829","480.090609","465.032975","442.3985","452.677885","474.701179","491.165933","512.032129","528.925956","548.421254","570.351988"
"        Number referred for diagnostic evaluation of TB disease","70.690002","72.620236","74.34638","75.662117","76.360957","76.249117","75.115245","72.759104","69.217984","70.826304","74.272084","76.848171","80.112911","82.756131","85.806379","89.237678"
"        Number diagnosed with TB disease","24.986411","25.668681","26.278781","26.743863","26.99088","26.951366","26.550553","25.717804","24.466062","25.034545","26.252504","27.163058","28.317026","29.251309","30.329462","31.542302"
"        Number initiated on treatment for TB disease","24.986411","25.668681","26.278781","26.743863","26.99088","26.951366","26.550553","25.717804","24.466062","25.034545","26.252504","27.163058","28.317026","29.251309","30.329462","31.542302"
"    HIV-positive, Not on ART, Children aged 10-14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","145.476407","149.448731","153.000912","155.7087","157.146887","156.916805","154.583219","149.734687","142.446878","145.756714","152.847943","158.149392","164.86805","170.307655","176.584901","183.646328"
"        Number referred for diagnostic evaluation of TB disease","62.851641","64.567844","66.102521","67.272398","67.893753","67.794353","66.786142","64.691399","61.542751","62.972733","66.036428","68.326866","71.229595","73.579722","76.291744","79.342562"
"        Number diagnosed with TB disease","12.493205","12.83434","13.13939","13.371931","13.49544","13.475683","13.275276","12.858902","12.233031","12.517272","13.126252","13.581529","14.158513","14.625654","15.164731","15.771151"
"        Number initiated on treatment for TB disease","12.493205","12.83434","13.13939","13.371931","13.49544","13.475683","13.275276","12.858902","12.233031","12.517272","13.126252","13.581529","14.158513","14.625654","15.164731","15.771151"
"    HIV-positive, Not on ART, Children and adults aged 10 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","4330.479917","4448.726359","4554.467435","4635.071074","4677.882315","4671.032583","4601.56869","4457.236946","4240.299972","4338.8258","4549.914605","4707.725941","4907.724192","5069.648104","5256.506583","5466.708229"
"        Number referred for diagnostic evaluation of TB disease","1861.484181","1912.313167","1957.76637","1992.414491","2010.817193","2007.872948","1978.013184","1915.97184","1822.719384","1865.071325","1955.809165","2023.645352","2109.615847","2179.21985","2259.542132","2349.898621"
"        Number diagnosed with TB disease","445.322323","457.482129","468.355694","476.644652","481.047139","480.342901","473.199363","458.357641","436.048359","446.180195","467.887369","484.11579","504.682474","521.333809","540.549274","562.165217"
"        Number initiated on treatment for TB disease","445.322323","457.482129","468.355694","476.644652","481.047139","480.342901","473.199363","458.357641","436.048359","446.180195","467.887369","484.11579","504.682474","521.333809","540.549274","562.165217"
"    HIV-positive, Not on ART, Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","597.284084","613.593303","628.177294","639.294812","645.199608","644.255094","634.673828","614.767662","584.845378","598.434599","627.549122","649.315326","676.900179","699.233611","725.006155","753.998316"
"        Number referred for diagnostic evaluation of TB disease","133.541643","137.18808","140.4489","142.934514","144.254709","144.043469","141.901388","137.450503","130.760735","133.799037","140.308512","145.175037","151.342506","156.335853","162.098123","168.58024"
"        Number diagnosed with TB disease","37.479616","38.503021","39.418171","40.115794","40.48632","40.42705","39.825829","38.576706","36.699093","37.551817","39.378756","40.744587","42.475539","43.876963","45.494192","47.313453"
"        Number initiated on treatment for TB disease","37.479616","38.503021","39.418171","40.115794","40.48632","40.42705","39.825829","38.576706","36.699093","37.551817","39.378756","40.744587","42.475539","43.876963","45.494192","47.313453"
"    HIV-positive, Not on ART, Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","4185.00351","4299.277628","4401.466523","4479.362374","4520.735428","4514.115778","4446.98547","4307.502259","4097.853094","4193.069086","4397.066662","4549.576549","4742.856142","4899.340449","5079.921682","5283.061901"
"        Number referred for diagnostic evaluation of TB disease","1798.632541","1847.745322","1891.66385","1925.142093","1942.92344","1940.078595","1911.227042","1851.280442","1761.176633","1802.098593","1889.772737","1955.318486","2038.386252","2105.640128","2183.250389","2270.556058"
"        Number diagnosed with TB disease","432.829117","444.647789","455.216303","463.272721","467.551699","466.867217","459.924087","445.498739","423.815328","433.662923","454.761117","470.534261","490.523961","506.708155","525.384543","546.394066"
"        Number initiated on treatment for TB disease","432.829117","444.647789","455.216303","463.272721","467.551699","466.867217","459.924087","445.498739","423.815328","433.662923","454.761117","470.534261","490.523961","506.708155","525.384543","546.394066"



"Provider-initiated: Household contacts "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Household contacts, aged 0 to 4 years","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","200306.016275","205790.751729","210695.327256","214441.09279","216449.398264","216141.593611","212939.028763","206299.017027","196282.943965","200853.430596","210629.488023","217941.121466","227203.544819","234704.715442","243358.639308","253091.719961"
"    Number screened for TB disease","98149.947975","100837.468347","103240.710355","105076.135467","106060.205149","105909.380869","104340.124094","101086.518343","96178.642543","98418.180992","103208.449131","106791.149518","113601.77241","117352.357721","121679.319654","126545.85998"
"    Number referred for diagnostic evaluation of TB disease","65464.82879","67257.37239","68860.305757","70084.512119","70740.874701","70640.276729","69593.60143","67423.485726","64149.991898","65643.73697","68838.787911","71228.405758","75771.008895","78272.603958","81158.63526","84404.558827"
"    Number diagnosed with PTB","5113.40824","5253.422464","5378.626377","5474.248209","5525.516194","5517.658563","5435.903547","5266.397451","5010.707326","5127.382623","5376.945634","5563.596876","5918.41617","6113.813867","6339.239588","6592.776222"
"    Number initiated on treatment for TB disease","5113.40824","5253.422464","5378.626377","5474.248209","5525.516194","5517.658563","5435.903547","5266.397451","5010.707326","5127.382623","5376.945634","5563.596876","5918.41617","6113.813867","6339.239588","6592.776222"
"    Number eligible for evaluation of TB infection","93036.539734","95584.045883","97862.083979","99601.887258","100534.688955","100391.722307","98904.220547","95820.120892","91167.935217","93290.798369","97831.503497","101227.552642","107683.35624","111238.543854","115340.080065","119953.083758"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","46518.269867","47792.022941","48931.041989","49800.943629","50267.344478","50195.861153","49452.110274","47910.060446","45583.967609","46645.399185","48915.751748","50613.776321","53841.67812","55619.271927","57670.040033","59976.541879"
"    Number initiated on TB preventive treatment","46518.269867","47792.022941","48931.041989","49800.943629","50267.344478","50195.861153","49452.110274","47910.060446","45583.967609","46645.399185","48915.751748","50613.776321","53841.67812","55619.271927","57670.040033","59976.541879"
"Household contacts, aged 5 to 14 years","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","133537.344183","137193.834486","140463.551504","142960.728527","144299.598843","144094.395741","141959.352509","137532.678018","130855.295977","133902.287064","140419.658682","145294.080977","151469.02988","156469.810295","162239.092872","168727.813307"
"    Number screened for TB disease","65433.29865","67224.978898","68827.140237","70050.756978","70706.803433","70606.253913","69560.082729","67391.012229","64119.095029","65612.120661","68805.632754","71194.099679","75734.51494","78234.905147","81119.546436","84363.906654"
"    Number referred for diagnostic evaluation of TB disease","43643.219193","44838.24826","45906.870505","46723.008079","47160.583134","47093.517819","46395.734287","44948.990484","42766.661265","43762.491313","45892.525274","47485.603839","50514.00593","52181.735972","54105.75684","56269.705885"
"    Number diagnosed with PTB","3408.938827","3502.281643","3585.750918","3649.498806","3683.677463","3678.439042","3623.935698","3510.931634","3340.47155","3418.255082","3584.630423","3709.064584","3945.61078","4075.875911","4226.159726","4395.184148"
"    Number initiated on treatment for TB disease","3408.938827","3502.281643","3585.750918","3649.498806","3683.677463","3678.439042","3623.935698","3510.931634","3340.47155","3418.255082","3584.630423","3709.064584","3945.61078","4075.875911","4226.159726","4395.184148"
"    Number eligible for evaluation of TB infection","62024.359823","63722.697255","65241.389319","66401.258172","67023.12597","66927.814871","65936.147031","63880.080594","60778.623478","62193.86558","65221.002331","67485.035095","71788.90416","74159.029236","76893.38671","79968.722506"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","31012.179911","31861.348628","32620.69466","33200.629086","33511.562985","33463.907436","32968.073516","31940.040297","30389.311739","31096.93279","32610.501166","33742.517547","35894.45208","37079.514618","38446.693355","39984.361253"
"    Number initiated on TB preventive treatment","31012.179911","31861.348628","32620.69466","33200.629086","33511.562985","33463.907436","32968.073516","31940.040297","30389.311739","31096.93279","32610.501166","33742.517547","35894.45208","37079.514618","38446.693355","39984.361253"
"Household contacts, aged 0 to 14 years","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","333843.360458","342984.586214","351158.87876","357401.821317","360748.997107","360235.989351","354898.381272","343831.695044","327138.239942","334755.71766","351049.146704","363235.202443","378672.574699","391174.525736","405597.732179","421819.533268"
"    Number screened for TB disease","163583.246625","168062.447245","172067.850592","175126.892445","176767.008582","176515.634782","173900.206823","168477.530572","160297.737572","164030.301654","172014.081885","177985.249197","189336.28735","195587.262868","202798.86609","210909.766634"
"    Number referred for diagnostic evaluation of TB disease","109108.047984","112095.62065","114767.176262","116807.520198","117901.457834","117733.794548","115989.335717","112372.476211","106916.653163","109406.228284","114731.313184","118714.009597","126285.014825","130454.33993","135264.392099","140674.264712"
"    Number diagnosed with PTB","8522.347067","8755.704107","8964.377295","9123.747016","9209.193657","9196.097604","9059.839245","8777.329086","8351.178876","8545.637705","8961.576057","9272.66146","9864.02695","10189.689779","10565.399314","10987.96037"
"    Number initiated on treatment for TB disease","8522.347067","8755.704107","8964.377295","9123.747016","9209.193657","9196.097604","9059.839245","8777.329086","8351.178876","8545.637705","8961.576057","9272.66146","9864.02695","10189.689779","10565.399314","10987.96037"
"    Number eligible for evaluation of TB infection","155060.899557","159306.743138","163103.473298","166003.14543","167557.814926","167319.537178","164840.367578","159700.201486","151946.558696","155484.663949","163052.505828","168712.587737","179472.2604","185397.57309","192233.466776","199921.806264"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","77530.449779","79653.371569","81551.736649","83001.572715","83778.907463","83659.768589","82420.183789","79850.100743","75973.279348","77742.331974","81526.252914","84356.293868","89736.1302","92698.786545","96116.733388","99960.903132"
"    Number initiated on TB preventive treatment","77530.449779","79653.371569","81551.736649","83001.572715","83778.907463","83659.768589","82420.183789","79850.100743","75973.279348","77742.331974","81526.252914","84356.293868","89736.1302","92698.786545","96116.733388","99960.903132"
"Household contacts, aged 15 years and above","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","854246.25001","877637.033675","898553.605878","914528.194263","923093.026473","921780.330151","908122.332942","879804.635692","837089.029783","856580.811097","898272.820911","929454.787216","968956.298769","1000946.585401","1037853.025596","1079361.752112"
"    Number screened for TB disease","427123.125005","438818.516838","449276.802939","457264.097131","461546.513236","460890.165076","454061.166471","439902.317846","418544.514891","428290.405549","449136.410456","464727.393608","484478.149385","500473.292701","518926.512798","539680.876056"
"    Number referred for diagnostic evaluation of TB disease","174799.265021","179585.5802","183865.612389","187134.396195","188886.966225","188618.357083","185823.603376","180029.123545","171288.486383","175276.972195","183808.157052","190188.735009","198271.6914","204817.671077","212369.613647","220863.294347"
"    Number diagnosed with PTB","18724.250457","19236.953781","19695.424786","20045.572292","20233.305119","20204.532087","19905.162016","19284.465518","18348.180807","18775.421775","19689.270252","20372.748753","21238.583629","21939.779729","22748.733154","23658.564238"
"    Number initiated on treatment for TB disease","18724.250457","19236.953781","19695.424786","20045.572292","20233.305119","20204.532087","19905.162016","19284.465518","18348.180807","18775.421775","19689.270252","20372.748753","21238.583629","21939.779729","22748.733154","23658.564238"
"    Number eligible for evaluation of TB infection","408398.874548","419581.563056","429581.378153","437218.524839","441313.208117","440685.632989","434156.004455","420617.852328","400196.334085","409514.983773","429447.140204","444354.644855","463239.565756","478533.512972","496177.779644","516022.311818"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","204199.437274","209790.781528","214790.689077","218609.26242","220656.604059","220342.816494","217078.002227","210308.926164","200098.167042","204757.491887","214723.570102","222177.322428","231619.782878","239266.756486","248088.889822","258011.155909"
"    Number initiated on TB preventive treatment","204199.437274","209790.781528","214790.689077","218609.26242","220656.604059","220342.816494","217078.002227","210308.926164","200098.167042","204757.491887","214723.570102","222177.322428","231619.782878","239266.756486","248088.889822","258011.155909"



"Provider-initiated: PLHIV on ART "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary TB, Enrolled on ART, Without serious illness","","","","","","","","","","","","","","","",""
"    Children aged 0-9 years","","","","","","","","","","","","","","","",""
"        Number eligible for screening and diagnosis of TB disease","213.119388","323.414043","405.586097","694.104017","1056.446838","1571.875019","1703.875334","1940.876639","2067.780683","2115.08244","2126.439403","2125.894802","2129.090441","2137.120233","2138.866829","2118.352067"
"        Number screened for TB disease","106.559694","161.707022","202.793049","347.052009","528.223419","785.93751","851.937667","970.43832","1033.890342","1057.54122","1063.219702","1062.947401","1064.545221","1068.560116","1069.433415","1059.176033"
"        Number referred for diagnostic evaluation of TB disease","6.870819","10.426641","13.07581","22.377424","34.059101","50.676143","54.93174","62.572495","66.663792","68.188767","68.554907","68.53735","68.640375","68.89925","68.955559","68.294177"
"        Number diagnosed with PTB","0.634857","0.963412","1.208192","2.067653","3.147028","4.682427","5.07564","5.781639","6.159671","6.300577","6.334408","6.332786","6.342305","6.366225","6.371428","6.310317"
"        Number initiated on treatment for TB disease","0.634857","0.963412","1.208192","2.067653","3.147028","4.682427","5.07564","5.781639","6.159671","6.300577","6.334408","6.332786","6.342305","6.366225","6.371428","6.310317"
"        Number eligible for evaluation of TB infection","105.924837","160.74361","201.584856","344.984356","525.076391","781.255082","846.862026","964.656681","1027.730671","1051.240643","1056.885294","1056.614615","1058.202915","1062.193891","1063.061987","1052.865717"
"        Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"        Number with presumed or confirmed TB infection","52.962418","80.371805","100.792428","172.492178","262.538195","390.627541","423.431013","482.32834","513.865335","525.620321","528.442647","528.307308","529.101458","531.096946","531.530993","526.432858"
"        Number initiated on TB preventive treatment","52.962418","80.371805","100.792428","172.492178","262.538195","390.627541","423.431013","482.32834","513.865335","525.620321","528.442647","528.307308","529.101458","531.096946","531.530993","526.432858"
"    Children aged 10-14 years","","","","","","","","","","","","","","","",""
"        Number eligible for screening and diagnosis of TB disease","231.894216","349.655927","449.808191","768.889462","1200.100457","1821.906255","2053.407837","2418.736933","2698.235697","2887.985404","3064.18507","3231.155528","3384.270036","3523.694015","3651.461166","3763.810222"
"        Number screened for TB disease","113.628166","171.331404","220.406014","376.755837","588.049224","892.734065","1006.16984","1185.181097","1349.117848","1443.992702","1532.092535","1615.577764","1692.135018","1761.847008","1825.730583","1881.905111"
"        Number referred for diagnostic evaluation of TB disease","75.525332","113.878993","146.497456","250.418629","390.859188","593.374326","668.771781","787.755349","896.719332","959.779883","1018.337275","1073.827475","1124.712852","1171.04838","1213.509932","1250.847504"
"        Number diagnosed with PTB","3.007727","4.535127","5.834127","9.972693","15.56561","23.630591","26.633226","31.371637","35.711029","38.222357","40.554352","42.764199","44.790662","46.635932","48.326925","49.81386"
"        Number initiated on treatment for TB disease","3.007727","4.535127","5.834127","9.972693","15.56561","23.630591","26.633226","31.371637","35.711029","38.222357","40.554352","42.764199","44.790662","46.635932","48.326925","49.81386"
"        Number eligible for evaluation of TB infection","110.620439","166.796277","214.571886","366.783143","572.483614","869.103474","979.536615","1153.80946","1313.40682","1405.770344","1491.538183","1572.813565","1647.344356","1715.211075","1777.403658","1832.091251"
"        Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"        Number with presumed or confirmed TB infection","55.310219","83.398139","107.285943","183.391572","286.241807","434.551737","489.768307","576.90473","656.70341","702.885172","745.769091","786.406783","823.672178","857.605538","888.701829","916.045626"
"        Number initiated on TB preventive treatment","55.310219","83.398139","107.285943","183.391572","286.241807","434.551737","489.768307","576.90473","656.70341","702.885172","745.769091","786.406783","823.672178","857.605538","888.701829","916.045626"
"    Children and adults aged 10 years and above","","","","","","","","","","","","","","","",""
"        Number eligible for screening and diagnosis of TB disease","4745.700967","7696.957935","10340.979397","13606.858315","18805.492602","20347.116173","22216.584564","28680.454361","31251.371731","33758.808961","36210.899233","38593.177828","40917.775068","43176.390476","45355.225264","47458.776011"
"        Number screened for TB disease","2325.393474","3771.509388","5067.079905","6667.360574","9214.691375","9970.086925","10886.126436","14053.422637","15625.685865","16879.40448","18105.449616","19296.588914","20458.887534","21588.195238","22677.612632","23729.388006"
"        Number referred for diagnostic evaluation of TB disease","1545.621299","2506.81242","3367.9404","4431.600342","6124.736917","6626.826333","7235.691111","9340.900626","10385.938191","11219.248432","12034.164917","12825.880508","13598.426541","14349.044473","15073.148478","15772.232929"
"        Number diagnosed with PTB","61.552957","99.831516","134.125151","176.484437","243.912055","263.907308","288.154791","371.992838","413.610505","446.796324","479.249629","510.77898","541.54492","571.437594","600.274374","628.114774"
"        Number initiated on treatment for TB disease","61.552957","99.831516","134.125151","176.484437","243.912055","263.907308","288.154791","371.992838","413.610505","446.796324","479.249629","510.77898","541.54492","571.437594","600.274374","628.114774"
"        Number eligible for evaluation of TB infection","2263.840517","3671.677872","4932.954754","6490.876137","8970.77932","9706.179617","10597.971645","13681.429799","15212.075361","16432.608156","17626.199987","18785.809935","19917.342614","21016.757644","22077.338258","23101.273231"
"        Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"        Number with presumed or confirmed TB infection","1131.920258","1835.838936","2466.477377","3245.438069","4485.38966","4853.089809","5298.985822","6840.714899","7606.03768","8216.304078","8813.099994","9392.904967","9958.671307","10508.378822","11038.669129","11550.636616"
"        Number initiated on TB preventive treatment","1131.920258","1835.838936","2466.477377","3245.438069","4485.38966","4853.089809","5298.985822","6840.714899","7606.03768","8216.304078","8813.099994","9392.904967","9958.671307","10508.378822","11038.669129","11550.636616"
"    Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number eligible for screening and diagnosis of TB disease","445.013604","673.06997","855.394289","1462.99348","2256.547295","3393.781275","3757.283171","4359.613573","4766.01638","5003.067844","5190.624473","5357.05033","5513.360477","5660.814248","5790.327996","5882.162289"
"        Number screened for TB disease","220.18786","333.038426","423.199062","723.807845","1116.272643","1678.671575","1858.107507","2155.619417","2383.00819","2501.533922","2595.312236","2678.525165","2756.680238","2830.407124","2895.163998","2941.081144"
"        Number referred for diagnostic evaluation of TB disease","82.396151","124.305634","159.573266","272.796053","424.918289","644.050469","723.703521","850.327844","963.383123","1027.96865","1086.892183","1142.364825","1193.353226","1239.94763","1282.465491","1319.141681"
"        Number diagnosed with PTB","3.642584","5.498539","7.04232","12.040346","18.712639","28.313018","31.708866","37.153276","41.870699","44.522934","46.88876","49.096984","51.132967","53.002157","54.698353","56.124176"
"        Number initiated on treatment for TB disease","3.642584","5.498539","7.04232","12.040346","18.712639","28.313018","31.708866","37.153276","41.870699","44.522934","46.88876","49.096984","51.132967","53.002157","54.698353","56.124176"
"        Number eligible for evaluation of TB infection","216.545275","327.539887","416.156743","711.767499","1097.560004","1650.358557","1826.398641","2118.466141","2341.137491","2457.010987","2548.423476","2629.428181","2705.547271","2777.404967","2840.465645","2884.956968"
"        Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"        Number with presumed or confirmed TB infection","108.272638","163.769944","208.078371","355.88375","548.780002","825.179278","913.199321","1059.23307","1170.568745","1228.505494","1274.211738","1314.71409","1352.773635","1388.702483","1420.232823","1442.478484"
"        Number initiated on TB preventive treatment","108.272638","163.769944","208.078371","355.88375","548.780002","825.179278","913.199321","1059.23307","1170.568745","1228.505494","1274.211738","1314.71409","1352.773635","1388.702483","1420.232823","1442.478484"
"    Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number eligible for screening and diagnosis of TB disease","4513.806751","7347.302007","9891.171206","12837.968853","17605.392145","18525.209918","20163.176727","26261.717428","28553.136034","30870.823557","33146.714163","35362.0223","37533.505032","39652.69646","41703.764098","43694.96579"
"        Number screened for TB disease","2211.765308","3600.177984","4846.673891","6290.604738","8626.642151","9077.35286","9879.956596","12868.24154","14276.568017","15435.411778","16573.357082","17681.01115","18766.752516","19826.34823","20851.882049","21847.482895"
"        Number referred for diagnostic evaluation of TB disease","1470.095968","2392.933426","3221.442943","4181.181713","5733.877729","6033.452007","6566.919329","8553.145277","9489.21886","10259.468549","11015.827642","11752.053033","12473.71369","13177.996093","13859.638547","14521.385425"
"        Number diagnosed with PTB","58.54523","95.296389","128.291024","166.511744","228.346445","240.276717","261.521566","340.621201","377.899476","408.573967","438.695277","468.014781","496.754258","524.801661","551.94745","578.300915"
"        Number initiated on treatment for TB disease","58.54523","95.296389","128.291024","166.511744","228.346445","240.276717","261.521566","340.621201","377.899476","408.573967","438.695277","468.014781","496.754258","524.801661","551.94745","578.300915"
"        Number eligible for evaluation of TB infection","2153.220078","3504.881595","4718.382867","6124.092994","8398.295706","8837.076143","9618.43503","12527.620339","13898.668541","15026.837812","16134.661805","17212.996369","18269.998259","19301.546569","20299.934599","21269.18198"
"        Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"        Number with presumed or confirmed TB infection","1076.610039","1752.440797","2359.191434","3062.046497","4199.147853","4418.538071","4809.217515","6263.81017","6949.33427","7513.418906","8067.330902","8606.498185","9134.999129","9650.773285","10149.9673","10634.59099"
"        Number initiated on TB preventive treatment","1076.610039","1752.440797","2359.191434","3062.046497","4199.147853","4418.538071","4809.217515","6263.81017","6949.33427","7513.418906","8067.330902","8606.498185","9134.999129","9650.773285","10149.9673","10634.59099"
"Pulmonary TB, Enrolled on ART, With serious illness","","","","","","","","","","","","","","","",""
"    Children aged 0-9 years","","","","","","","","","","","","","","","",""
"        Number eligible for screening and diagnosis of TB disease","11.21681","17.021792","21.346637","36.53179","55.602465","82.730264","89.677649","102.151402","108.830562","111.320128","111.917863","111.8892","112.057392","112.480012","112.571938","111.492214"
